Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Encyclopedia_Kinds_au_10086529_Real_Estate.txt	-11.9536	-4.7149	11.7762	-0.5765	0.5905	-1.6958	Learned exposition
World_Dteen_10406116_5132.txt	-13.3345	-2.3255	-0.2011	2.3694	0.8363	-0.1671	General narrative exposition
Encyclopedia_Kinds_au_10086288_Capital_economics.txt	-7.6148	-3.4335	8.6825	-1.5156	9.7961	0.4710	Scientific exposition
History_kids_10381201_wilsons-fourteen-points.txt	-13.9211	0.4531	6.4422	13.5307	1.8716	-1.7633	General narrative exposition
Quatr_us_file10390777_quick-summary-geological-erashtm.txt	-12.7894	-4.7964	0.0605	-4.8233	-2.0980	-1.8586	General narrative exposition
Science_Tech_Kinds_NZ_10384711_alexandergrahambell.txt	-19.9922	0.5652	4.5668	-1.6568	-1.7380	-3.0141	Learned exposition
Science_Tech_Kinds_NZ_10384580_uluru.txt	-14.2071	-2.7984	-1.9119	-3.4827	0.7402	-3.4950	General narrative exposition
Quatr_us_file10392162_cancer.txt	-9.5624	-2.5396	3.2829	-5.4415	-2.1391	-2.5810	General narrative exposition
Encyclopedia_Kinds_au_10088785_Sapir-Whorf_hypothesis.txt	-8.1488	-2.0953	3.0080	-1.4737	0.3828	2.2560	General narrative exposition
Dogo_News_10060934_nasas-new-horizons-rings-in-2019-with-the-most-distant-flyby-in-space-history.txt	-8.8545	-1.7064	0.7655	-2.6750	1.1076	-1.9541	General narrative exposition
Science_for_students_10066974_trees-edge.txt	-13.8010	-2.9782	3.8270	-3.0566	-0.2442	0.3900	Learned exposition
Encyclopedia_Kinds_au_10087795_Electric_motor.txt	-15.1327	-5.9218	-0.0140	-0.6056	6.8826	-0.6424	Scientific exposition
Science_Tech_Kinds_NZ_10382873_physics.txt	-8.1661	-5.6676	7.1914	-5.3441	-1.3956	4.3371	General narrative exposition
History_kids_10381379_mohandas-gandhi.txt	-17.1240	-0.2652	6.1839	-1.1315	2.0996	-0.9262	Learned exposition
Factmonster_10053011_december-05.txt	-22.3334	1.0519	4.3101	-5.4769	2.7417	-3.1091	Learned exposition
WhyFiles_10063296_331whalesong.txt	-9.5734	1.0065	2.7502	-4.2397	-2.4481	1.0771	General narrative exposition
Science_Tech_Kinds_NZ_10382382_light.txt	-15.9644	-6.4110	14.8057	-6.4461	3.6606	0.8340	Learned exposition
TeenVogue_10406498_edna-chavez-21-under-21-2018.txt	7.0023	1.6449	3.7124	-1.3300	-1.2817	0.1153	Involved persuasion
Dogo_News_10060925_caltech-scientists-unveil-two-time-traveling-illusions-to-trick-your-brain.txt	-4.4670	2.8746	0.6955	-0.8019	6.8255	-0.9316	General narrative exposition
TweenTribute_10051482_see-national-parks-big-big-screen.txt	-8.0956	-1.9907	5.7247	-2.8357	1.3899	-0.7981	General narrative exposition
