"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"255"	"pretend"	"mental"	"mental"	"Edwards"	TRUE
"256"	"prevent"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"257"	"produce"	"activity"	"activity"	"Edwards"	TRUE
"258"	"promise"	"communication"	"communication"	"Edwards"	TRUE
"259"	"propose"	"communication"	"communication"	"Edwards"	TRUE
"260"	"prove"	"mental"	"mental"	"Edwards"	TRUE
"261"	"provide"	"activity"	"activity"	"Edwards"	TRUE
"262"	"pull"	"activity"	"activity"	"Edwards"	TRUE
"263"	"put"	"activity"	"activity"	"Edwards"	TRUE
"264"	"put off"	"mental"	NA	NA	NA
"265"	"put on"	"activity"	NA	NA	NA
"266"	"question"	"communication"	"mental"	"Edwards"	FALSE
"267"	"question"	"communication"	"communication"	"Edwards"	TRUE
"268"	"quote"	"communication"	"communication"	"Edwards"	TRUE
"269"	"reach"	"activity"	"activity"	"Edwards"	TRUE
"270"	"read"	"mental"	"mental"	"Edwards"	TRUE
"271"	"realize"	"mental"	NA	NA	NA
"272"	"recall"	"mental"	"mental"	"Edwards"	TRUE
"273"	"receive"	"activity"	"activity"	"Edwards"	TRUE
"274"	"reckon"	"mental"	"mental"	"Edwards"	TRUE
"275"	"recognise"	"mental"	"mental"	"Edwards"	TRUE
"276"	"recognize"	"mental"	NA	NA	NA
"277"	"recommend"	"communication"	"communication"	"Edwards"	TRUE
"278"	"reduce"	"activity"	"activity"	"Edwards"	TRUE
"279"	"reflect"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"280"	"regard"	"mental"	"mental"	"Edwards"	TRUE
"281"	"relate"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"282"	"remain"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"283"	"remark"	"communication"	"communication"	"Edwards"	TRUE
"284"	"remember"	"mental"	"mental"	"Edwards"	TRUE
"285"	"remind"	"mental"	"communication"	"Edwards"	FALSE
"286"	"remind"	"mental"	"mental"	"Edwards"	TRUE
"287"	"remind"	"mental"	"mental"	"Edwards"	TRUE
"288"	"repeat"	"activity"	"activity"	"Edwards"	TRUE
"289"	"reply"	"communication"	"communication"	"Edwards"	TRUE
"290"	"represent"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"291"	"require"	"facilitation_causation"	"existence_relationship"	"Edwards"	FALSE
"292"	"require"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"293"	"respond"	"communication"	"communication"	"Edwards"	TRUE
"294"	"reveal"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"295"	"rise"	"occurrence"	"occurrence"	"Edwards"	TRUE
"296"	"run"	"activity"	"activity"	"Edwards"	TRUE
"297"	"run"	"activity"	"existence_relationship"	"Edwards"	FALSE
"298"	"satisfy"	"mental"	"mental"	"Edwards"	TRUE
"299"	"save"	"activity"	"activity"	"Edwards"	TRUE
"300"	"say"	"communication"	"communication"	"Edwards"	TRUE
"301"	"see"	"mental"	"mental"	"Edwards"	TRUE
"302"	"seem"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"303"	"sell"	"activity"	"activity"	"Edwards"	TRUE
"304"	"send"	"activity"	"activity"	"Edwards"	TRUE
"305"	"set up"	"activity"	NA	NA	NA
"306"	"shake"	"activity"	"occurrence"	"Edwards"	FALSE
"307"	"shake"	"activity"	"activity"	"Edwards"	TRUE
"308"	"share"	"activity"	"activity"	"Edwards"	TRUE
