"Lemma"	"Corpus"
"477"	"look into"	"Youth Fiction Sampled"
"478"	"unfold"	"Youth Fiction Sampled"
"479"	"ask for"	"Youth Fiction Sampled"
"480"	"look forward"	"Youth Fiction Sampled"
"481"	"look at"	"Youth Fiction Sampled"
"482"	"look"	"Youth Fiction Sampled"
"483"	"worry"	"Youth Fiction Sampled"
"484"	"hoist"	"Youth Fiction Sampled"
"485"	"hold"	"Youth Fiction Sampled"
"486"	"put on"	"Youth Fiction Sampled"
"487"	"play"	"Youth Fiction Sampled"
"488"	"fight"	"Youth Fiction Sampled"
"489"	"keep"	"Youth Fiction Sampled"
"490"	"keep"	"Youth Fiction Sampled"
"491"	"listen"	"Youth Fiction Sampled"
"492"	"do"	"Youth Fiction Sampled"
"493"	"begin"	"Youth Fiction Sampled"
"494"	"talk about"	"Youth Fiction Sampled"
"495"	"begin"	"Youth Fiction Sampled"
"496"	"pluck"	"Youth Fiction Sampled"
"497"	"guard"	"Youth Fiction Sampled"
"498"	"fix"	"Youth Fiction Sampled"
"499"	"work on"	"Youth Fiction Sampled"
"500"	"do"	"Youth Fiction Sampled"
"501"	"cut"	"Youth Fiction Sampled"
"502"	"go on"	"Youth Fiction Sampled"
"503"	"put off"	"Youth Fiction Sampled"
"504"	"go"	"Youth Fiction Sampled"
"505"	"lean"	"Youth Fiction Sampled"
"506"	"look at"	"Youth Fiction Sampled"
"507"	"float"	"Youth Fiction Sampled"
"508"	"die"	"Youth Fiction Sampled"
"509"	"say"	"Youth Fiction Sampled"
"510"	"come"	"Youth Fiction Sampled"
"511"	"stand"	"Youth Fiction Sampled"
"512"	"discount"	"Youth Fiction Sampled"
"513"	"bob"	"Youth Fiction Sampled"
"514"	"wait"	"Youth Fiction Sampled"
"515"	"laugh"	"Youth Fiction Sampled"
"516"	"learn"	"Youth Fiction Sampled"
"517"	"eat"	"Youth Fiction Sampled"
"518"	"speak"	"Youth Fiction Sampled"
"519"	"present"	"Youth Fiction Sampled"
"520"	"murder"	"Youth Fiction Sampled"
"521"	"try"	"Youth Fiction Sampled"
"522"	"run down"	"Youth Fiction Sampled"
"523"	"wear"	"Youth Fiction Sampled"
"524"	"rain"	"Youth Fiction Sampled"
"525"	"pray"	"Youth Fiction Sampled"
"526"	"jog"	"Youth Fiction Sampled"
"527"	"stare"	"Youth Fiction Sampled"
"528"	"squint"	"Youth Fiction Sampled"
"529"	"doubt"	"Youth Fiction Sampled"
"530"	"stand"	"Youth Fiction Sampled"
"531"	"take"	"Youth Fiction Sampled"
"532"	"settle"	"Youth Fiction Sampled"
"533"	"get"	"Youth Fiction Sampled"
"534"	"attempt"	"Youth Fiction Sampled"
"535"	"fish"	"Youth Fiction Sampled"
"536"	"dig"	"Youth Fiction Sampled"
"537"	"inspect"	"Youth Fiction Sampled"
"538"	"weigh down"	"Youth Fiction Sampled"
"539"	"show"	"Youth Fiction Sampled"
"540"	"watch"	"Youth Fiction Sampled"
"541"	"be"	"Youth Fiction Sampled"
"542"	"threaten"	"Youth Fiction Sampled"
"543"	"struggle"	"Youth Fiction Sampled"
"544"	"hold"	"Youth Fiction Sampled"
"545"	"try"	"Youth Fiction Sampled"
"546"	"touch"	"Youth Fiction Sampled"
"547"	"bow"	"Youth Fiction Sampled"
"548"	"try"	"Youth Fiction Sampled"
"549"	"run"	"Youth Fiction Sampled"
"550"	"hum"	"Youth Fiction Sampled"
"551"	"shake"	"Youth Fiction Sampled"
"552"	"whirl"	"Youth Fiction Sampled"
"553"	"watch"	"Youth Fiction Sampled"
"554"	"chirp"	"Youth Fiction Sampled"
"555"	"look"	"Youth Fiction Sampled"
"556"	"point"	"Youth Fiction Sampled"
"557"	"run late"	"Youth Fiction Sampled"
"558"	"elude"	"Youth Fiction Sampled"
"559"	"wake up"	"Youth Fiction Sampled"
"560"	"get"	"Youth Fiction Sampled"
"561"	"play"	"Youth Fiction Sampled"
"562"	"feel"	"Youth Fiction Sampled"
"563"	"sleep"	"Youth Fiction Sampled"
