lemma	semantic_domain
visit	activity
visualise	mental
voice	communication
volunteer	activity
vomit	activity
wade	activity
wag	activity
wail	communication
wait	activity
wait for	activity
wake up	activity
walk	activity
walk along	activity
walk around	activity
walk away	activity
wander	activity
wander about	activity
want	mental
warm up	activity
warn	communication
wash	activity
wash up	activity
waste	unclear_other
watch	activity
water	activity
wave	activity
wave goodbye	activity
weaken	occurrence
wear	activity
wear through	occurrence
weep	activity
weigh down	occurrence
welcome	communication
well up	unclear_other
wheel	activity
wheeze	activity
whine	communication
whip off	activity
whirl	occurrence
whisper	communication
whistle	activity
widen	occurrence
win	activity
wind up	aspectual
winkle out	facilitation_causation
wipe	activity
wish	mental
wither	occurrence
witness	mental
wonder	mental
work	unclear_other
work at	activity
work away	activity
work on	activity
work out	mental
worry	mental
worry about	mental
wrap	activity
wreck	activity
write	communication
write down	communication
write off	mental
write out	communication
yawn	activity
yearn	mental
yell	communication
