words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
freak,1,5.386234235,0.37,6.01,X.BNC_prog_count.,0,0.1,0.78
freeze,3,8.988194091,0.7,11.28,X.BNC_prog_count.,0,0.19,4.61
frown,0,0.485503187,0.03,0.46,X.BNC_non_prog.,0,-0.06,0.06
fry,1,4.377881461,0.32,5.06,X.BNC_prog_count.,0,0.13,1.03
fuck,2,70.86282452,4.28,68.58,X.BNC_non_prog.,0,-0.03,1.59
fume,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
fundraise,0,0.186731995,0.01,0.18,X.BNC_non_prog.,0,-0.06,0.02
gain,0,3.921371899,0.23,3.69,X.BNC_non_prog.,0,-0.06,0.47
garden,0,0.78427438,0.05,0.74,X.BNC_non_prog.,0,-0.06,0.09
gasp,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
get,121,3113.347542,189.9,3044.45,X.BNC_non_prog.,-0.02,-0.02,31.86
give,18,282.8625906,17.66,283.2,X.BNC_prog_count.,0,0,0.01
go,325,2960.325377,192.89,3092.44,X.BNC_prog_count.,0.04,0.04,86.57
grab,1,10.42799811,0.67,10.76,X.BNC_prog_count.,0,0.03,0.15
greet,0,0.522849587,0.03,0.49,X.BNC_non_prog.,0,-0.06,0.06
grill,0,1.493855961,0.09,1.41,X.BNC_non_prog.,0,-0.06,0.18
grin,0,0.336117591,0.02,0.32,X.BNC_non_prog.,0,-0.06,0.04
grow,7,48.72082736,3.27,52.45,X.BNC_prog_count.,0,0.07,3.47
guarantee,1,2.659947106,0.21,3.45,X.BNC_prog_count.,0,0.21,1.7
guess,3,87.52767127,5.32,85.21,X.BNC_non_prog.,0,-0.03,1.26
hack,1,1.128744745,0.12,2,X.BNC_prog_count.,0,0.41,2.86
hammer,1,0.419163163,0.08,1.34,X.BNC_prog_count.,0,0.65,4
hand,3,5.664364577,0.51,8.16,X.BNC_prog_count.,0,0.29,6.52
handcuff,0,0.074692798,0,0.07,X.BNC_non_prog.,0,-0.06,0.01
hang,4,39.20978369,2.54,40.67,X.BNC_prog_count.,0,0.03,0.77
happen,26,163.8690927,11.15,178.72,X.BNC_prog_count.,0,0.08,15.67
harass,0,0.37346399,0.02,0.35,X.BNC_non_prog.,0,-0.06,0.05
have,94,3102.291562,187.66,3008.63,X.BNC_non_prog.,-0.03,-0.03,63.16
head,2,4.572966231,0.39,6.19,X.BNC_prog_count.,0,0.25,3.82
hear,5,144.086825,8.75,140.33,X.BNC_non_prog.,0,-0.03,2.01
heat,1,3.406875086,0.26,4.15,X.BNC_prog_count.,0,0.17,1.36
help,7,77.81367221,4.98,79.83,X.BNC_prog_count.,0,0.02,0.78
