words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
sit,62,180,11.63,230.37,X.TxB_Nar_prog_count.,0.03,0.21,120.48
wear,37,49,4.13,81.87,X.TxB_Nar_prog_count.,0.02,0.38,112.65
talk,50,120,8.17,161.83,X.TxB_Nar_prog_count.,0.03,0.25,110.6
do,82,429,24.56,486.44,X.TxB_Nar_prog_count.,0.04,0.11,92.26
wait,41,130,8.22,162.78,X.TxB_Nar_prog_count.,0.02,0.19,74.07
stand,35,128,7.83,155.17,X.TxB_Nar_prog_count.,0.02,0.17,56.03
walk,43,243,13.75,272.25,X.TxB_Nar_prog_count.,0.02,0.1,43.44
shine,9,5,0.67,13.33,X.TxB_Nar_prog_count.,0.01,0.6,36.93
try,34,193,10.91,216.09,X.TxB_Nar_prog_count.,0.02,0.1,34.05
work,21,100,5.82,115.18,X.TxB_Nar_prog_count.,0.01,0.13,25.82
rain,7,6,0.62,12.38,X.TxB_Nar_prog_count.,0,0.49,25.17
look,72,772,40.56,803.44,X.TxB_Nar_prog_count.,0.02,0.04,21.71
happen,20,113,6.39,126.61,X.TxB_Nar_prog_count.,0.01,0.1,20.06
suffer,4,1,0.24,4.76,X.TxB_Nar_prog_count.,0,0.75,19.39
miss,10,33,2.07,40.93,X.TxB_Nar_prog_count.,0.01,0.18,17.36
shake,14,67,3.89,77.11,X.TxB_Nar_prog_count.,0.01,0.13,17.08
enjoy,8,23,1.49,29.51,X.TxB_Nar_prog_count.,0,0.21,15.46
joke,4,3,0.34,6.66,X.TxB_Nar_prog_count.,0,0.52,15.03
visit,8,25,1.59,31.41,X.TxB_Nar_prog_count.,0,0.19,14.5
dance,8,26,1.63,32.37,X.TxB_Nar_prog_count.,0,0.19,14.05
learn,8,30,1.83,36.17,X.TxB_Nar_prog_count.,0,0.16,12.43
campaign,2,0,0.1,1.9,X.TxB_Nar_prog_count.,0,0.95,12.14
scoot,2,0,0.1,1.9,X.TxB_Nar_prog_count.,0,0.95,12.14
stall,2,0,0.1,1.9,X.TxB_Nar_prog_count.,0,0.95,12.14
surf,2,0,0.1,1.9,X.TxB_Nar_prog_count.,0,0.95,12.14
wade,2,0,0.1,1.9,X.TxB_Nar_prog_count.,0,0.95,12.14
read,14,88,4.9,97.1,X.TxB_Nar_prog_count.,0.01,0.09,12.12
relax,3,2,0.24,4.76,X.TxB_Nar_prog_count.,0,0.55,11.68
go,77,1012,52.34,1036.66,X.TxB_Nar_prog_count.,0.02,0.02,11.16
burn,6,19,1.2,23.8,X.TxB_Nar_prog_count.,0,0.19,10.76
laugh,15,110,6.01,118.99,X.TxB_Nar_prog_count.,0.01,0.07,10.22
cycle,3,3,0.29,5.71,X.TxB_Nar_prog_count.,0,0.45,10.19
discuss,3,3,0.29,5.71,X.TxB_Nar_prog_count.,0,0.45,10.19
drown,3,3,0.29,5.71,X.TxB_Nar_prog_count.,0,0.45,10.19
fix,3,3,0.29,5.71,X.TxB_Nar_prog_count.,0,0.45,10.19
ride,6,21,1.3,25.7,X.TxB_Nar_prog_count.,0,0.17,9.9
listen,12,79,4.37,86.63,X.TxB_Nar_prog_count.,0.01,0.08,9.7
celebrate,4,9,0.62,12.38,X.TxB_Nar_prog_count.,0,0.26,9.13
play,12,86,4.71,93.29,X.TxB_Nar_prog_count.,0.01,0.07,8.49
dig,2,1,0.14,2.86,X.TxB_Nar_prog_count.,0,0.62,8.42
expect,5,18,1.11,21.89,X.TxB_Nar_prog_count.,0,0.17,8.05
carry,8,45,2.55,50.45,X.TxB_Nar_prog_count.,0,0.1,8.04
wonder,7,37,2.11,41.89,X.TxB_Nar_prog_count.,0,0.11,7.6
plan,4,12,0.77,15.23,X.TxB_Nar_prog_count.,0,0.2,7.48
bleed,2,2,0.19,3.81,X.TxB_Nar_prog_count.,0,0.45,6.8
ruin,2,2,0.19,3.81,X.TxB_Nar_prog_count.,0,0.45,6.8
squeeze,2,2,0.19,3.81,X.TxB_Nar_prog_count.,0,0.45,6.8
bark,3,7,0.48,9.52,X.TxB_Nar_prog_count.,0,0.25,6.69
bluff,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
brag,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
browse,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
chew,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
choke,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
cite,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
collapse,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
daydream,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
encourage,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
entertain,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
film,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
half-expect,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
limp,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
melt,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
moan,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
participate,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
recharge,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
shop,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
straighten,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
swarm,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
televise,1,0,0.05,0.95,X.TxB_Nar_prog_count.,0,0.95,6.07
run,20,213,11.2,221.8,X.TxB_Nar_prog_count.,0.01,0.04,6
eat,11,92,4.95,98.05,X.TxB_Nar_prog_count.,0,0.06,5.87
prepare,4,16,0.96,19.04,X.TxB_Nar_prog_count.,0,0.15,5.85
sail,4,16,0.96,19.04,X.TxB_Nar_prog_count.,0,0.15,5.85
wave,5,25,1.44,28.56,X.TxB_Nar_prog_count.,0,0.12,5.79
chase,2,3,0.24,4.76,X.TxB_Nar_prog_count.,0,0.35,5.71
march,2,3,0.24,4.76,X.TxB_Nar_prog_count.,0,0.35,5.71
rehearse,2,3,0.24,4.76,X.TxB_Nar_prog_count.,0,0.35,5.71
row,2,3,0.24,4.76,X.TxB_Nar_prog_count.,0,0.35,5.71
hang,4,17,1.01,19.99,X.TxB_Nar_prog_count.,0,0.14,5.51
lie,7,47,2.6,51.4,X.TxB_Nar_prog_count.,0,0.08,5.48
watch,13,122,6.49,128.51,X.TxB_Nar_prog_count.,0,0.05,5.41
drink,5,27,1.54,30.46,X.TxB_Nar_prog_count.,0,0.11,5.28
scream,5,28,1.59,31.41,X.TxB_Nar_prog_count.,0,0.1,5.05
float,2,4,0.29,5.71,X.TxB_Nar_prog_count.,0,0.29,4.9
